Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
San Javier, SANTA FE;252;3,290,000;564;12.39;6.48;14.07;68;61;-103;-98;62;51;San Javier;SANTA FE;ene-24
Montecarlo, MISIONES;707;2,140,000;7,49;13.80;9.56;13.21;77;77;-103;-100;69;69;Montecarlo;MISIONES;ene-24
Cafayate, SALTA;315;2,340,000;51,8;14.72;12.80;9.63;79;71;-100;-93;70;66;Cafayate;SALTA;ene-24
San Vicente, BUENOS AIRES;4,780,000;1,300,000;3,160,000;11.15;14.03;9.11;64;54;-102;-102;61;49;San Vicente;BUENOS AIRES;ene-24
25 de Mayo, RÍO NEGRO;78,3;11,7;1,500,000;2.17;12.33;9.70;747;88;-94;-91;776;81;25 de Mayo;RÍO NEGRO;ene-24
Junín, MENDOZA;2,300,000;979;807;12.33;14.31;12.19;75;69;-103;-101;68;62;Junín;MENDOZA;ene-24
San Martín, SAN JUAN;464;34,2;364;12.54;11;10.15;71;71;-103;-101;65;65;San Martín;SAN JUAN;ene-24
José C. Paz, BUENOS AIRES;7,130,000;10,100,000;10,800,000;15.19;16.10;8.79;53;51;-99;-96;45;45;José C. Paz;BUENOS AIRES;ene-24
San Justo, CÓRDOBA;8,380,000;4,880,000;110;14.74;18.76;12.61;64;58;-101;-97;56;51;San Justo;CÓRDOBA;ene-24
Merlo, BUENOS AIRES;9,700,000;12,100,000;18,600,000;16.08;17.38;10.04;52;51;-100;-100;45;45;Merlo;BUENOS AIRES;ene-24
Marcos Paz, BUENOS AIRES;922;1,330,000;2,800,000;10.73;13.75;8.08;69;59;-105;-105;70;52;Marcos Paz;BUENOS AIRES;ene-24
Tehuelches, CHUBUT;9,01;704;557;9.64;8.72;10.17;103;95;-89;-84;96;87;Tehuelches;CHUBUT;ene-24
9 de Julio, BUENOS AIRES;2,160,000;539;799;11.33;16.64;13.31;83;54;-99;-99;75;47;9 de Julio;BUENOS AIRES;ene-24
San Fernando, CHACO;10,200,000;22,900,000;3,190,000;11.62;14.22;12.37;78;59;-100;-99;72;53;San Fernando;CHACO;ene-24
Trenel, LA PAMPA;301;45,5;4,26;9.55;17.60;9.87;73;65;-98;-98;73;56;Trenel;LA PAMPA;ene-24
Dr. Manuel Belgrano, JUJUY;10,500,000;19,600,000;2,060,000;12.80;16.15;8.97;76;63;-98;-97;70;59;Dr. Manuel Belgrano;JUJUY;ene-24
Cerrillos, SALTA;1,600,000;3,550,000;482;12.27;11.88;9.06;79;76;-104;-99;73;73;Cerrillos;SALTA;ene-24
San Martín, SANTA FE;1,850,000;3,310,000;33;13.38;15.68;17.10;66;62;-103;-102;60;53;San Martín;SANTA FE;ene-24
Monte Caseros, CORRIENTES;2,230,000;1,540,000;28,3;9.39;13.32;11.40;87;69;-99;-93;82;63;Monte Caseros;CORRIENTES;ene-24
Libertador General San Martín, SAN LUIS;5,11;645;220;5.32;9.35;--;108;86;-110;-102;121;75;Libertador General San Martín;SAN LUIS;ene-24
General Las Heras, BUENOS AIRES;477;254;1,220,000;15.66;21.29;5.66;59;51;-106;-103;53;43;General Las Heras;BUENOS AIRES;ene-24
Lavalle, CORRIENTES;687;2,440,000;297;9.34;7.37;--;103;85;-102;-102;99;95;Lavalle;CORRIENTES;ene-24
Colón, CÓRDOBA;11,400,000;10,600,000;1,540,000;12.16;14.66;10;65;59;-102;-100;60;55;Colón;CÓRDOBA;ene-24
Ituzaingó, BUENOS AIRES;3,170,000;3,400,000;5,450,000;14.82;20.31;11.54;53;46;-99;-96;46;40;Ituzaingó;BUENOS AIRES;ene-24
Esquina, CORRIENTES;597;2,130,000;19,9;11.45;11.28;11.90;82;73;-103;-100;74;66;Esquina;CORRIENTES;ene-24
Tala, ENTRE RÍOS;561;1,840,000;74,2;13.84;14.10;15.02;77;66;-102;-102;68;60;Tala;ENTRE RÍOS;ene-24
Rawson, CHUBUT;9,270,000;661;9,500,000;11.57;15.77;11.56;77;74;-99;-99;70;65;Rawson;CHUBUT;ene-24
Collón Curá, NEUQUÉN;192;49,7;440;9.15;9.51;14.49;110;70;-92;-92;105;66;Collón Curá;NEUQUÉN;ene-24
Graneros, TUCUMÁN;731;718;1,19;12.39;15.72;10.62;78;65;-96;-92;71;61;Graneros;TUCUMÁN;ene-24
Hurlingham, BUENOS AIRES;3,800,000;3,690,000;4,800,000;14.37;18.62;10.59;52;50;-99;-97;45;43;Hurlingham;BUENOS AIRES;ene-24
La Pampa, LA PAMPA;5,150,000;396;2,790,000;12.59;19.22;12.06;73;58;-100;-100;66;50;La Pampa;LA PAMPA;ene-24
Chicoana, SALTA;644;2,510,000;125;14.25;14.10;7.91;73;73;-99;-99;65;65;Chicoana;SALTA;ene-24
General San Martín, CÓRDOBA;6,970,000;3,730,000;233;15.15;19.07;10.55;63;54;-99;-99;55;47;General San Martín;CÓRDOBA;ene-24
Caleu Caleu, LA PAMPA;426;133;268;16.07;13.56;12.12;65;65;-98;-97;55;55;Caleu Caleu;LA PAMPA;ene-24
Chimbas, SAN JUAN;1,230,000;1,280,000;3,280,000;14.54;16.85;11.20;70;64;-102;-98;62;57;Chimbas;SAN JUAN;ene-24
Moreno, BUENOS AIRES;16,700,000;19,100,000;28,800,000;12.30;14.71;8.24;58;58;-100;-100;53;53;Moreno;BUENOS AIRES;ene-24
El Carmen, JUJUY;6,650,000;4,760,000;717;11.25;11.97;9.22;81;78;-99;-99;75;75;El Carmen;JUJUY;ene-24
Lobos, BUENOS AIRES;1,500,000;322;741;12.36;16.91;8.32;62;56;-105;-104;57;48;Lobos;BUENOS AIRES;ene-24
Castelli, BUENOS AIRES;293;220;615;11.39;18.53;7.51;76;59;-99;-94;73;52;Castelli;BUENOS AIRES;ene-24
Famaillá, TUCUMÁN;1,130,000;3,070,000;36,2;9.10;11.67;8.39;96;70;-99;-96;92;69;Famaillá;TUCUMÁN;ene-24
Alberti, BUENOS AIRES;575;35,4;208;11.92;21.31;15.37;83;59;-100;-100;75;50;Alberti;BUENOS AIRES;ene-24
Arauco, LA RIOJA;233;1,690,000;12,9;13.72;10.34;15.74;70;64;-100;-74;63;60;Arauco;LA RIOJA;ene-24
Gastre, CHUBUT;21,8;--;--;1.29;--;--;929;929;-86;-86;889;889;Gastre;CHUBUT;ene-24
Colón, ENTRE RÍOS;2,750,000;3,830,000;1,370,000;10.03;11.36;12.03;77;68;-102;-102;75;62;Colón;ENTRE RÍOS;ene-24
San Antonio, JUJUY;247;408;8,38;13.44;6.61;9.08;82;82;-106;-106;76;76;San Antonio;JUJUY;ene-24
San Salvador, ENTRE RÍOS;614;670;2,55;13.29;14.64;19.95;70;66;-100;-99;64;57;San Salvador;ENTRE RÍOS;ene-24
Iglesia, SAN JUAN;100;--;1,100,000;4.85;--;10.11;590;89;-96;-96;605;83;Iglesia;SAN JUAN;ene-24
Río Senguer, CHUBUT;491;216;396;8.70;--;7.65;108;106;-93;-83;102;98;Río Senguer;CHUBUT;ene-24
La Rioja, LA RIOJA;12,100,000;8,340,000;1,650,000;14.12;16.78;10.71;68;60;-98;-98;61;54;La Rioja;LA RIOJA;ene-24
Simoca, TUCUMÁN;932;1,100,000;20,4;12.44;13.40;12.61;75;72;-97;-97;66;66;Simoca;TUCUMÁN;ene-24
Metán, SALTA;2,380,000;3,580,000;485;11.96;12.12;8.22;79;79;-100;-100;72;72;Metán;SALTA;ene-24
Leales, TUCUMÁN;1,640,000;3,840,000;20,3;13.15;12.69;7.97;76;69;-104;-104;68;67;Leales;TUCUMÁN;ene-24
General Juan Madariaga, BUENOS AIRES;490;453;2,180,000;11.14;15.74;11.30;87;58;-101;-101;80;47;General Juan Madariaga;BUENOS AIRES;ene-24
Cochinoca, JUJUY;108;1,080,000;2,81;13.59;11.13;9.54;76;76;-96;-94;66;66;Cochinoca;JUJUY;ene-24
San Martín, MENDOZA;4,730,000;1,860,000;2,220,000;12.22;12.47;10.97;76;70;-103;-101;69;65;San Martín;MENDOZA;ene-24
General Rodríguez, BUENOS AIRES;6,630,000;8,150,000;7,940,000;11.99;12.95;8.99;59;59;-102;-102;54;54;General Rodríguez;BUENOS AIRES;ene-24
Capayán, CATAMARCA;696;2,030,000;4,33;13.09;13.14;9.28;80;69;-100;-100;72;65;Capayán;CATAMARCA;ene-24
Olavarría, BUENOS AIRES;5,060,000;2,490,000;1,980,000;11.71;15.41;8.74;81;60;-102;-100;73;52;Olavarría;BUENOS AIRES;ene-24
Islas del Ibicuy, ENTRE RÍOS;884;2,210,000;21,4;11.41;10.47;8.20;83;67;-101;-100;76;63;Islas del Ibicuy;ENTRE RÍOS;ene-24
Berisso, BUENOS AIRES;575;1,760,000;3,360,000;16.35;18.77;10.99;54;53;-105;-104;46;46;Berisso;BUENOS AIRES;ene-24
Pila, BUENOS AIRES;361;57,5;1,54;11.22;15.49;7.10;62;62;-101;-101;59;57;Pila;BUENOS AIRES;ene-24
Lobería, BUENOS AIRES;527;230;946;15.54;11.88;9.24;65;65;-101;-100;57;57;Lobería;BUENOS AIRES;ene-24
Ledesma, JUJUY;5,820,000;7,460,000;334;10.89;14.43;10.01;82;74;-99;-99;77;69;Ledesma;JUJUY;ene-24
Las Flores, BUENOS AIRES;1,680,000;181;741;7.69;15.06;8.37;72;59;-102;-102;75;49;Las Flores;BUENOS AIRES;ene-24
General Güemes, CHACO;468;6,650,000;7,5;13.86;6.99;12.15;76;73;-104;-97;68;65;General Güemes;CHACO;ene-24
Lomas de Zamora, BUENOS AIRES;11,800,000;18,600,000;24,100,000;12.91;17.07;9.82;55;51;-100;-99;49;44;Lomas de Zamora;BUENOS AIRES;ene-24
La Plata, BUENOS AIRES;12,400,000;17,000,000;31,300,000;13.28;16.28;11.66;57;55;-102;-102;51;49;La Plata;BUENOS AIRES;ene-24
Campana, BUENOS AIRES;3,290,000;9,270,000;5,380,000;17.59;18.11;11.02;53;50;-101;-97;45;43;Campana;BUENOS AIRES;ene-24
Candelaria, MISIONES;478;2,980,000;115;12.29;9.86;13.57;76;76;-104;-100;68;68;Candelaria;MISIONES;ene-24
Rivadavia, BUENOS AIRES;756;222;567;15.33;17;8.49;62;62;-103;-101;55;55;Rivadavia;BUENOS AIRES;ene-24
Tunuyán, MENDOZA;3,940,000;874;1,010,000;8.83;13.12;10.85;81;73;-98;-98;79;67;Tunuyán;MENDOZA;ene-24
Maipú, MENDOZA;7,700,000;2,830,000;5,360,000;11.43;13;10.70;76;74;-101;-100;70;69;Maipú;MENDOZA;ene-24
San Roque, CORRIENTES;471;1,680,000;2,66;12.61;7.97;3.78;79;79;-97;-94;71;71;San Roque;CORRIENTES;ene-24
San Miguel, BUENOS AIRES;8,070,000;9,080,000;11,700,000;13.49;18.55;8.85;56;49;-100;-96;50;43;San Miguel;BUENOS AIRES;ene-24
Federación, ENTRE RÍOS;2,200,000;4,540,000;242;10.47;10.87;7.05;74;73;-102;-102;70;67;Federación;ENTRE RÍOS;ene-24
Junín, SAN LUIS;2,970,000;612;1,490,000;8.63;8.27;4.10;94;94;-103;-103;92;92;Junín;SAN LUIS;ene-24
Atreucó, LA PAMPA;372;20,4;697;16.42;16.73;12.95;68;67;-100;-93;58;58;Atreucó;LA PAMPA;ene-24
Castro Barros, LA RIOJA;109;365;--;17.50;13.30;--;65;65;-102;-102;55;55;Castro Barros;LA RIOJA;ene-24
Trenque Lauquen, BUENOS AIRES;1,920,000;582;864;13.22;14.26;9.21;62;62;-100;-100;56;56;Trenque Lauquen;BUENOS AIRES;ene-24
Rawson, SAN JUAN;2,510,000;2,010,000;4,870,000;13.89;18.52;11.31;70;62;-101;-97;62;55;Rawson;SAN JUAN;ene-24
Luján de Cuyo, MENDOZA;8,270,000;2,060,000;4,900,000;11.60;15.28;10.70;78;67;-101;-101;72;59;Luján de Cuyo;MENDOZA;ene-24
Realicó, LA PAMPA;929;84,4;415;13.87;16.48;11.28;64;64;-98;-98;57;57;Realicó;LA PAMPA;ene-24
Pilagás, FORMOSA;554;1,190,000;3,01;11.93;12.21;4.79;81;76;-98;-98;73;69;Pilagás;FORMOSA;ene-24
Salta, SALTA;24,100,000;37,600,000;7,530,000;11.27;14.37;7.97;79;66;-100;-98;74;62;Salta;SALTA;ene-24
Trancas, TUCUMÁN;2,220,000;2,450,000;29,8;9.89;6.36;2.71;79;79;-97;-94;75;75;Trancas;TUCUMÁN;ene-24
Almirante Brown, BUENOS AIRES;9,240,000;9,940,000;16,300,000;13.53;18.49;9.47;57;49;-101;-100;51;41;Almirante Brown;BUENOS AIRES;ene-24
Pellegrini, BUENOS AIRES;227;75,9;396;19.74;18.32;10.30;57;57;-100;-96;48;48;Pellegrini;BUENOS AIRES;ene-24
Saavedra, BUENOS AIRES;394;387;1,120,000;14.19;14.25;11.05;80;71;-103;-102;69;65;Saavedra;BUENOS AIRES;ene-24
General San Martín, LA RIOJA;84,4;320;245;15.62;6.17;--;62;62;-89;-89;53;53;General San Martín;LA RIOJA;ene-24
Santa Rosa, CATAMARCA;312;1,480,000;7,51;11.95;10.90;6.17;78;78;-99;-99;70;70;Santa Rosa;CATAMARCA;ene-24
Guatraché, LA PAMPA;191;9,39;424;16.44;15.32;15.20;60;60;-97;-97;51;51;Guatraché;LA PAMPA;ene-24
Cruz del Eje, CÓRDOBA;2,570,000;3,220,000;149;14.05;15.37;12.18;70;64;-101;-98;63;58;Cruz del Eje;CÓRDOBA;ene-24
25 de Mayo, SAN JUAN;376;90,7;166;12.54;16.87;10.28;71;64;-100;-96;65;56;25 de Mayo;SAN JUAN;ene-24
Florentino Ameghino, BUENOS AIRES;329;352;1,35;16.35;17.70;11.44;60;58;-98;-98;52;50;Florentino Ameghino;BUENOS AIRES;ene-24
Río Primero, CÓRDOBA;2,170,000;2,020,000;43,3;14.85;18.65;13.54;60;56;-99;-98;52;49;Río Primero;CÓRDOBA;ene-24
Magallanes, SANTA CRUZ;1,040,000;34,4;342;11.06;11.26;12.96;87;86;-97;-97;80;78;Magallanes;SANTA CRUZ;ene-24
Ñorquín, NEUQUÉN;197;--;222;10.82;--;9.17;99;85;-97;-97;85;85;Ñorquín;NEUQUÉN;ene-24
Mercedes, CORRIENTES;1,680,000;4,350,000;122;9.48;7.60;9.77;88;77;-101;-100;84;79;Mercedes;CORRIENTES;ene-24
Misiones, MISIONES;10,600,000;17,400,000;1,020,000;11.02;13.95;11.42;77;67;-100;-99;71;61;Misiones;MISIONES;ene-24
Fray Justo Santa María de Oro, CHACO;145;461;--;15.04;6.50;--;74;74;-103;-103;65;65;Fray Justo Santa María de Oro;CHACO;ene-24
Capitán Sarmiento, BUENOS AIRES;714;293;275;11.47;17.17;10.01;72;55;-104;-104;67;47;Capitán Sarmiento;BUENOS AIRES;ene-24
Santa Bárbara, JUJUY;642;2,210,000;3,85;9.74;10.30;8.39;103;75;-101;-90;99;80;Santa Bárbara;JUJUY;ene-24
General Viamonte, BUENOS AIRES;315;109;717;16.27;20.76;12.15;64;50;-103;-101;55;42;General Viamonte;BUENOS AIRES;ene-24
Tigre, BUENOS AIRES;12,500,000;16,300,000;15,700,000;12.95;18.46;9.44;54;50;-98;-96;49;43;Tigre;BUENOS AIRES;ene-24
Guaraní, MISIONES;408;2,620,000;16,8;12.50;7.96;13.15;86;85;-100;-95;77;77;Guaraní;MISIONES;ene-24
Tres de Febrero, BUENOS AIRES;6,340,000;10,100,000;10,700,000;14.25;16.75;11.73;52;51;-98;-97;46;45;Tres de Febrero;BUENOS AIRES;ene-24
Monte Hermoso, BUENOS AIRES;1,830,000;822;3,460,000;10.21;11.95;7.60;71;71;-101;-101;68;68;Monte Hermoso;BUENOS AIRES;ene-24
La Paz, CATAMARCA;2,550,000;2,280,000;27,2;13.68;15.11;4.12;65;61;-96;-80;58;58;La Paz;CATAMARCA;ene-24
General Villegas, BUENOS AIRES;886;1,490,000;13,2;13.57;15.64;11.23;66;66;-103;-103;59;59;General Villegas;BUENOS AIRES;ene-24
Iruya, SALTA;62,6;63,5;--;0.71;1.68;--;1,717;965;-91;-91;1,468;919;Iruya;SALTA;ene-24
Berazategui, BUENOS AIRES;5,490,000;5,570,000;12,400,000;15.01;17.55;11.26;55;52;-100;-100;48;45;Berazategui;BUENOS AIRES;ene-24
San Martín, SANTIAGO DEL ESTERO;118;433;3,07;10.61;8.89;12.64;70;70;-92;-92;59;59;San Martín;SANTIAGO DEL ESTERO;ene-24
Biedma, CHUBUT;4,230,000;584;10,200,000;11.61;14.26;10.19;79;71;-101;-99;72;63;Biedma;CHUBUT;ene-24
25 de Mayo, CHACO;109;1,740,000;19,8;16.14;10.60;11.31;73;70;-100;-98;64;64;25 de Mayo;CHACO;ene-24
Malargüe, MENDOZA;881;146;1,190,000;11;16.47;11.88;93;74;-100;-100;86;65;Malargüe;MENDOZA;ene-24
Copo, SANTIAGO DEL ESTERO;12,7;2,290,000;12,9;16.57;9.31;8.95;79;79;-94;-90;70;70;Copo;SANTIAGO DEL ESTERO;ene-24
Federal, ENTRE RÍOS;96,9;1,620,000;--;19.42;9.84;--;61;61;-98;-98;52;52;Federal;ENTRE RÍOS;ene-24
Minas, CÓRDOBA;38,8;395;--;21.75;19.03;--;55;55;-97;-97;47;47;Minas;CÓRDOBA;ene-24
Zonda, SAN JUAN;380;98,9;124;16.24;7.42;6.67;68;68;-100;-99;59;59;Zonda;SAN JUAN;ene-24
Concordia, ENTRE RÍOS;5,520,000;7,490,000;547;11.98;12.90;9.10;70;65;-100;-100;65;58;Concordia;ENTRE RÍOS;ene-24
Santa Fé, SANTA FE;16,500,000;17,700,000;7,710,000;10.60;13.82;9.53;68;60;-101;-101;65;53;Santa Fé;SANTA FE;ene-24
Santo Tomé, CORRIENTES;3,180,000;3,760,000;16,1;8.05;11.27;13.41;91;77;-104;-99;94;71;Santo Tomé;CORRIENTES;ene-24
Molinos, SALTA;12,2;531;--;1.39;17.10;--;902;63;-91;-91;830;56;Molinos;SALTA;ene-24
Sanagasta, LA RIOJA;504;262;--;12.74;--;--;73;69;-101;-101;67;60;Sanagasta;LA RIOJA;ene-24
General Pueyrredón, BUENOS AIRES;27,900,000;15,800,000;29,800,000;12.43;14.43;9.92;66;63;-99;-98;61;56;General Pueyrredón;BUENOS AIRES;ene-24
Burruyacú, TUCUMÁN;1,040,000;3,520,000;7,23;13.49;8.44;10.35;72;72;-104;-96;64;64;Burruyacú;TUCUMÁN;ene-24
Robles, SANTIAGO DEL ESTERO;2,440,000;4,380,000;194;11.74;12.52;9.22;78;73;-99;-98;71;71;Robles;SANTIAGO DEL ESTERO;ene-24
Dolores, BUENOS AIRES;1,480,000;605;1,800,000;9.43;20.09;4.95;70;51;-99;-99;68;44;Dolores;BUENOS AIRES;ene-24
Anta, SALTA;769;8,000,000;138;13;9.73;10.82;77;77;-100;-99;70;70;Anta;SALTA;ene-24
Cushamen, CHUBUT;420;30,9;1,500,000;3.65;7.63;8.18;371;107;-98;-98;270;100;Cushamen;CHUBUT;ene-24
San Javier, CÓRDOBA;2,700,000;4,100,000;68,3;10.10;13.17;4.03;81;68;-104;-100;77;64;San Javier;CÓRDOBA;ene-24
Morón, BUENOS AIRES;7,180,000;7,210,000;10,200,000;13.56;17.76;10.03;54;49;-97;-96;48;43;Morón;BUENOS AIRES;ene-24
General Paz, CORRIENTES;356;1,470,000;14,7;12.97;10.48;6.80;79;79;-102;-99;71;71;General Paz;CORRIENTES;ene-24
Jiménez, SANTIAGO DEL ESTERO;170;1,690,000;15;12.01;9.48;12.03;72;72;-101;-99;67;67;Jiménez;SANTIAGO DEL ESTERO;ene-24
Guasayán, SANTIAGO DEL ESTERO;1,090,000;1,080,000;48,4;6.28;11.92;4.18;81;66;-98;-90;88;57;Guasayán;SANTIAGO DEL ESTERO;ene-24
Banda, SANTIAGO DEL ESTERO;2,850,000;12,500,000;963;14.31;13.76;7.48;65;65;-101;-100;58;58;Banda;SANTIAGO DEL ESTERO;ene-24
Pehuajó, BUENOS AIRES;1,660,000;348;3,060,000;14.75;16.67;4.06;61;61;-103;-99;54;54;Pehuajó;BUENOS AIRES;ene-24
Rivadavia, MENDOZA;2,360,000;1,300,000;1,100,000;12.25;13.26;11;76;68;-103;-99;69;62;Rivadavia;MENDOZA;ene-24
Primero de Mayo, CHACO;279;988;6,95;12.06;8.79;8.56;75;75;-105;-100;67;67;Primero de Mayo;CHACO;ene-24
Ambato, CATAMARCA;165;1,470,000;--;1.58;9.02;--;1,567;91;-98;-98;1,431;95;Ambato;CATAMARCA;ene-24
Chapaleufú, LA PAMPA;655;64,2;3,8;13.74;15.20;8.72;65;65;-98;-98;56;56;Chapaleufú;LA PAMPA;ene-24
Zapala, NEUQUÉN;2,740,000;156;3,290,000;11.11;15.88;10.26;84;75;-100;-97;77;66;Zapala;NEUQUÉN;ene-24
Salto, BUENOS AIRES;1,830,000;457;1,400,000;11.16;17.83;9.21;67;57;-99;-99;62;48;Salto;BUENOS AIRES;ene-24
Escalante, CHUBUT;20,000,000;1,540,000;12,500,000;11.93;15.82;12.49;76;71;-98;-97;69;63;Escalante;CHUBUT;ene-24
Quemú Quemú, LA PAMPA;400;14,3;2,92;14.39;12.87;12.70;75;72;-98;-98;65;64;Quemú Quemú;LA PAMPA;ene-24
Florentino Ameghino, CHUBUT;78,8;20,3;96,3;1.76;10.54;13.21;916;82;-89;-89;871;74;Florentino Ameghino;CHUBUT;ene-24
Las Colonias, SANTA FE;3,300,000;4,160,000;77,8;12.10;17.51;16.27;65;57;-102;-102;60;49;Las Colonias;SANTA FE;ene-24
San Miguel, CORRIENTES;327;557;5,05;12.89;10.32;15.65;73;68;-98;-95;66;59;San Miguel;CORRIENTES;ene-24
Chacabuco, SAN LUIS;2,720,000;396;127;10.14;12.46;13.71;87;80;-99;-99;82;70;Chacabuco;SAN LUIS;ene-24
Conhelo, LA PAMPA;683;12,5;309;12.89;21.45;14.77;78;53;-101;-101;70;46;Conhelo;LA PAMPA;ene-24
Cañuelas, BUENOS AIRES;2,750,000;1,580,000;3,140,000;13.03;13.60;4.88;58;58;-101;-101;53;53;Cañuelas;BUENOS AIRES;ene-24
Orán, SALTA;8,180,000;23,700,000;1,570,000;8.10;12.76;6.77;109;72;-102;-99;106;70;Orán;SALTA;ene-24
O'Higgins, CHACO;103;1,390,000;5,2;17.07;10.83;8.46;70;70;-100;-95;61;61;O'Higgins;CHACO;ene-24
Juan Bautista Alberdi, TUCUMÁN;1,240,000;2,230,000;150;11.33;8.54;11.93;85;82;-99;-99;79;79;Juan Bautista Alberdi;TUCUMÁN;ene-24
Pichi Mahuida, RÍO NEGRO;824;103;1,830,000;12.13;19.68;10.21;64;59;-96;-96;57;51;Pichi Mahuida;RÍO NEGRO;ene-24
Presidencia de la Plaza, CHACO;111;926;1,55;11.94;14.73;13.84;78;66;-104;-100;72;57;Presidencia de la Plaza;CHACO;ene-24
Comandante Fernández, CHACO;2,650,000;8,910,000;441;11.46;11.47;12.60;79;64;-100;-98;73;60;Comandante Fernández;CHACO;ene-24
Loreto, SANTIAGO DEL ESTERO;591;2,040,000;18,8;9.84;14.26;3.04;79;63;-103;-99;79;59;Loreto;SANTIAGO DEL ESTERO;ene-24
San Isidro, BUENOS AIRES;6,010,000;7,500,000;8,030,000;16.25;18.45;13.21;50;49;-97;-96;43;43;San Isidro;BUENOS AIRES;ene-24
Bolívar, BUENOS AIRES;814;529;2,350,000;17.25;20.99;6.24;62;51;-102;-99;53;42;Bolívar;BUENOS AIRES;ene-24
Cachi, SALTA;36,1;1,190,000;--;0.91;15.57;--;1,468;70;-98;-98;1,306;64;Cachi;SALTA;ene-24
Valle Grande, JUJUY;--;39,1;--;--;0.47;--;--;--;--;--;--;--;Valle Grande;JUJUY;ene-24
Yavi, JUJUY;231;3,150,000;842;12.61;7.51;11.20;84;84;-101;-95;75;75;Yavi;JUJUY;ene-24
La Matanza, BUENOS AIRES;31,200,000;36,000,000;54,300,000;16.69;18.36;10.83;51;49;-98;-95;43;42;La Matanza;BUENOS AIRES;ene-24
Bermejo, CHACO;494;2,590,000;9,41;13.31;12.23;7.72;71;67;-100;-96;64;63;Bermejo;CHACO;ene-24
Almirante Brown, CHACO;159;3,260,000;3,36;15.87;10.54;9.40;72;70;-99;-93;63;63;Almirante Brown;CHACO;ene-24
Tumbaya, JUJUY;237;909;6,73;14.82;14.29;9.99;74;74;-95;-89;65;65;Tumbaya;JUJUY;ene-24
Diamante, ENTRE RÍOS;1,100,000;2,630,000;39,3;14.66;14.33;15.24;66;63;-103;-102;59;55;Diamante;ENTRE RÍOS;ene-24
Empedrado, CORRIENTES;969;1,200,000;10,2;10.95;6.96;7.39;80;80;-102;-102;75;75;Empedrado;CORRIENTES;ene-24
Navarro, BUENOS AIRES;1,010,000;173;393;16.01;11.26;9.45;55;55;-100;-100;49;42;Navarro;BUENOS AIRES;ene-24
Los Andes, SALTA;119;643;--;1.06;17.52;--;1,38;73;-93;-93;1,237;66;Los Andes;SALTA;ene-24
Gobernador Dupuy, SAN LUIS;513;13,1;1,020,000;14.71;1.72;7.82;73;73;-100;-98;65;65;Gobernador Dupuy;SAN LUIS;ene-24
Benito Juárez, BUENOS AIRES;1,520,000;238;350;11.26;17.38;8.13;76;64;-99;-99;70;55;Benito Juárez;BUENOS AIRES;ene-24
San Antonio, RÍO NEGRO;3,030,000;1,070,000;7,000,000;4.75;13.65;10.73;102;82;-97;-97;120;74;San Antonio;RÍO NEGRO;ene-24
San Pedro, BUENOS AIRES;4,310,000;2,060,000;775;12.62;16.93;11.87;57;57;-98;-98;52;49;San Pedro;BUENOS AIRES;ene-24
Picunches, NEUQUÉN;571;6,14;35,4;8.15;1.39;10.41;99;95;-105;-103;99;91;Picunches;NEUQUÉN;ene-24
Tucumán, TUCUMÁN;17,600,000;26,900,000;5,190,000;13.08;16.70;9.40;72;57;-98;-97;65;53;Tucumán;TUCUMÁN;ene-24
San Cayetano, BUENOS AIRES;193;312;20;12.50;15.50;8.10;72;70;-107;-104;66;62;San Cayetano;BUENOS AIRES;ene-24
Luján, BUENOS AIRES;2,610,000;4,890,000;5,150,000;20.06;15.43;11.75;51;51;-102;-102;42;42;Luján;BUENOS AIRES;ene-24
9 de Julio, SAN JUAN;201;52,1;702;13.93;8.48;10.32;72;72;-99;-97;64;64;9 de Julio;SAN JUAN;ene-24
San Carlos, SALTA;184;858;--;14.70;16.67;--;78;63;-91;-91;70;57;San Carlos;SALTA;ene-24
Libertador General San Martín, MISIONES;2,030,000;3,120,000;6,49;11.95;9.03;12.81;79;74;-102;-101;72;68;Libertador General San Martín;MISIONES;ene-24
Sarmiento, SANTIAGO DEL ESTERO;555;506;62,5;6.72;18.21;3.58;95;61;-95;-91;88;54;Sarmiento;SANTIAGO DEL ESTERO;ene-24
Balcarce, BUENOS AIRES;1,660,000;1,980,000;972;13.42;14.24;8.10;67;66;-101;-101;60;59;Balcarce;BUENOS AIRES;ene-24
Apóstoles, MISIONES;876;3,710,000;12,7;13.23;10.27;12.92;75;75;-101;-99;66;66;Apóstoles;MISIONES;ene-24
Salliqueló, BUENOS AIRES;342;37,8;115;16.18;18.31;14.10;60;60;-100;-93;52;52;Salliqueló;BUENOS AIRES;ene-24
Curuzú Cuatiá, CORRIENTES;1,050,000;2,050,000;94,1;10.84;9.46;11.90;84;79;-101;-100;78;74;Curuzú Cuatiá;CORRIENTES;ene-24
Figueroa, SANTIAGO DEL ESTERO;23,2;987;--;10.54;8.77;--;86;86;-109;-104;81;81;Figueroa;SANTIAGO DEL ESTERO;ene-24
Tercero Arriba, CÓRDOBA;6,110,000;2,280,000;161;14.36;21.50;10.46;62;54;-99;-99;55;47;Tercero Arriba;CÓRDOBA;ene-24
