Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Bragado, BUENOS AIRES;4,340,000;515;885;11.82;19.97;14.65;75;48;-97;-97;73;42;Bragado;BUENOS AIRES;jun-24
Esteban Echeverría, BUENOS AIRES;14,600,000;17,700,000;24,500,000;16.17;17.06;10.80;51;50;-100;-100;48;47;Esteban Echeverría;BUENOS AIRES;jun-24
Telsen, CHUBUT;104;--;--;1.04;--;--;1,251;1,251;-95;-95;1,152;1,152;Telsen;CHUBUT;jun-24
Guachipas, SALTA;26,3;737;136;16.31;10.27;--;71;65;-91;-91;64;58;Guachipas;SALTA;jun-24
Ojo de Agua, SANTIAGO DEL ESTERO;108;5,650,000;2,04;17.82;3.80;5.97;53;53;-96;-96;47;47;Ojo de Agua;SANTIAGO DEL ESTERO;jun-24
General Paz, BUENOS AIRES;1,170,000;251;838;15.18;17.78;5.98;58;47;-100;-95;55;41;General Paz;BUENOS AIRES;jun-24
Santa Victoria, SALTA;85,7;66,8;--;0.90;0.60;--;1,453;1,453;-103;-101;1,305;1,305;Santa Victoria;SALTA;jun-24
Independencia, CHACO;399;2,170,000;5,64;13.59;10.67;13.32;71;63;-101;-95;67;59;Independencia;CHACO;jun-24
Rancul, LA PAMPA;1,100,000;89,1;455;17.67;16.01;12.51;58;58;-96;-92;53;53;Rancul;LA PAMPA;jun-24
Rivadavia, SAN JUAN;3,450,000;2,720,000;5,810,000;16.40;19.06;12.47;64;60;-99;-97;60;56;Rivadavia;SAN JUAN;jun-24
Rauch, BUENOS AIRES;1,990,000;224;788;11.03;20.81;11.12;98;55;-98;-97;94;50;Rauch;BUENOS AIRES;jun-24
Maipú, BUENOS AIRES;1,260,000;370;683;14.45;21.15;13.87;67;51;-99;-96;62;45;Maipú;BUENOS AIRES;jun-24
San Javier, MISIONES;33,1;2,360,000;10,5;11;9.26;1.37;90;86;-102;-100;86;86;San Javier;MISIONES;jun-24
Carlos Casares, BUENOS AIRES;1,860,000;608;794;13.03;13.52;8.74;62;58;-104;-104;61;54;Carlos Casares;BUENOS AIRES;jun-24
Pocito, SAN JUAN;2,280,000;1,900,000;3,870,000;15.38;15.33;10.24;69;65;-102;-99;64;62;Pocito;SAN JUAN;jun-24
Pilcaniyeu, RÍO NEGRO;325;206;755;10.69;13.40;10.11;92;69;-98;-98;87;66;Pilcaniyeu;RÍO NEGRO;jun-24
Valcheta, RÍO NEGRO;76,5;2,53;292;1.20;11.33;12.57;1,211;74;-94;-94;1,092;71;Valcheta;RÍO NEGRO;jun-24
Lago Buenos Aires, SANTA CRUZ;2,290,000;11,4;771;12.57;8.58;8.94;84;84;-97;-90;78;78;Lago Buenos Aires;SANTA CRUZ;jun-24
Juárez Celman, CÓRDOBA;11,800,000;4,870,000;204;15.35;19.83;14.95;59;54;-98;-98;56;50;Juárez Celman;CÓRDOBA;jun-24
General Alvarado, BUENOS AIRES;4,050,000;943;2,710,000;14.13;20.38;15.82;65;52;-101;-101;61;47;General Alvarado;BUENOS AIRES;jun-24
Rinconada, JUJUY;--;207;--;--;10.95;--;--;--;--;--;--;--;Rinconada;JUJUY;jun-24
Jáchal, SAN JUAN;417;84,3;2,130,000;15.70;12.93;11.07;63;63;-98;-96;57;57;Jáchal;SAN JUAN;jun-24
